,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.96875,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03125,0,0.01324,0.02647,0.03968,0.0528,0.06569,0.07814,0.08986,0.10049,0.10964,0.11693,0.12204,0.12479,0.12512,0.12313,0.11904,0.1132,0.10604,0.09799,0.08945,0.08076,0.07217,0.06384,0.0559,0.04837,0.04126,0.03456,0.02822,0.02219,0.01642,0.01084,0.00539,0
0.0625,0,0.02647,0.05296,0.07945,0.10581,0.1318,0.157,0.18081,0.20247,0.22116,0.23604,0.24647,0.25203,0.2526,0.24836,0.23983,0.22773,0.21297,0.19646,0.17904,0.1614,0.14405,0.12731,0.11137,0.0963,0.08212,0.06875,0.05612,0.04413,0.03264,0.02155,0.01071,0
0.09375,0,0.03968,0.07945,0.11931,0.15916,0.19867,0.23722,0.27389,0.30744,0.33649,0.35966,0.37583,0.38432,0.38492,0.37794,0.36421,0.34494,0.32163,0.2958,0.26882,0.24173,0.21529,0.18995,0.16595,0.14336,0.12214,0.1022,0.0834,0.06555,0.04848,0.032,0.0159,0
0.125,0,0.0528,0.10581,0.15916,0.21281,0.26643,0.31927,0.37004,0.41693,0.45775,0.49033,0.51296,0.52458,0.5249,0.51436,0.49416,0.4662,0.43278,0.39626,0.35864,0.32138,0.2854,0.25124,0.2191,0.18902,0.16088,0.13452,0.10971,0.0862,0.06374,0.04206,0.0209,0
0.15625,0,0.06569,0.1318,0.19867,0.26643,0.33489,0.40328,0.47002,0.53249,0.58731,0.63108,0.66122,0.67628,0.67586,0.66054,0.63197,0.59291,0.54695,0.49771,0.44801,0.39966,0.35366,0.31046,0.27018,0.23272,0.19785,0.16529,0.13471,0.1058,0.0782,0.05159,0.02563,0
0.1875,0,0.07814,0.157,0.23722,0.31927,0.40328,0.48877,0.57409,0.65572,0.72809,0.78565,0.82473,0.84361,0.84188,0.82017,0.78043,0.72652,0.66427,0.59946,0.53589,0.4755,0.41905,0.36674,0.31843,0.27381,0.23249,0.19406,0.15806,0.12408,0.09169,0.06048,0.03004,0
0.21875,0,0.08986,0.18081,0.27389,0.37004,0.47002,0.57409,0.68145,0.78817,0.88411,0.959,1.00864,1.03173,1.02809,0.99816,0.94346,0.86847,0.78372,0.69963,0.62044,0.54729,0.48026,0.41899,0.36297,0.31159,0.26426,0.22039,0.1794,0.14078,0.104,0.06858,0.03407,0
0.25,0,0.10049,0.20247,0.30744,0.41693,0.53249,0.65572,0.78817,0.9314,1.06241,1.15802,1.21922,1.24669,1.24073,1.20131,1.12803,1.02018,0.90123,0.7945,0.69879,0.6129,0.53567,0.466,0.40286,0.34533,0.29258,0.24383,0.19839,0.15563,0.11494,0.07579,0.03765,0
